gene_id	gene_symbol	median_cluster1	median_cluster2	diff	p_value	fdr
COQ2|27235	COQ2	7.33767275021269	6.826917058322927	0.5107556918897629	2.3044097088875027e-8	2.8436977858820293e-6
TLL1|7092	TLL1	7.192190945137593	8.347076518221442	-1.154885573083849	2.374516711526708e-8	2.9124526792653043e-6
IFRD2|7866	IFRD2	9.365816059611827	8.896486807918029	0.46932925169379835	2.398342451700742e-8	2.920985692758916e-6
NPM3|10360	NPM3	7.552530430675423	7.110394566007903	0.4421358646675202	2.410340007366039e-8	2.920985692758916e-6
BTNL9|153579	BTNL9	8.59504554768704	9.921382771472603	-1.326337223785563	2.4589242181681523e-8	2.9593227549222947e-6
ZNF792|126375	ZNF792	6.800923194504181	7.25800062219418	-0.4570774276899989	2.4712202074407935e-8	2.9593227549222947e-6
SYN3|8224	SYN3	2.577476403068424	3.5623157021081715	-0.9848392990397477	2.4959780422075173e-8	2.9687850595326562e-6
MYLIP|29116	MYLIP	9.641436222019472	10.193291257770104	-0.5518550357506324	2.5084605454100417e-8	2.9687850595326562e-6
TRPC4AP|26133	TRPC4AP	10.99505609025539	10.788979282753958	0.2060768075014323	2.5335871401538435e-8	2.971975731437407e-6
SLC10A2|6555	SLC10A2	5.517337958717198	8.163030706323106	-2.6456927476059082	2.5446961968682374e-8	2.971975731437407e-6
ADAMTS5|11096	ADAMTS5	9.180505642975461	9.77430937600551	-0.5938037330300485	2.5589579210094407e-8	2.971975731437407e-6
EDN1|1906	EDN1	9.194193855771639	10.433439390876151	-1.2392455351045122	2.58458211647882e-8	2.971975731437407e-6
UPP1|7378	UPP1	9.298360454851995	8.728359320966092	0.5700011338859028	2.58458211647882e-8	2.971975731437407e-6
RHOBTB1|9886	RHOBTB1	10.123256663683222	10.783554873718339	-0.66029821003511735	2.623478851127237e-8	2.999659038932939e-6
WDR78|79819	WDR78	6.671546434893406	7.206115712502365	-0.5345692776089592	2.7164599215255854e-8	3.050831900943787e-6
GALNTL2|117248	GALNTL2	7.885888433738302	9.224300797342044	-1.3384123636037426	2.7300012617390718e-8	3.050831900943787e-6
NPR3|4883	NPR3	7.709520163732646	9.590487872917125	-1.8809677091844792	2.7300012617390718e-8	3.050831900943787e-6
ENG|2022	ENG	12.497740494491328	13.266047145698115	-0.7683066512067871	2.743608093545653e-8	3.050831900943787e-6
TAF9B|51616	TAF9B	9.280767294528381	9.545248308701975	-0.2644810141735938	2.743608093545653e-8	3.050831900943787e-6
JAK1|3716	JAK1	12.3819396107248	12.74491370476949	-0.3629740940446897	2.8126354004361995e-8	3.1104981002200985e-06
HUNK|30811	HUNK	6.887665696352442	7.794955151527823	-0.9072894551753814	2.9557812695476223e-8	3.230742763317821e-6
COL25A1|84570	COL25A1	3.9453586953485007	5.680701298890549	-1.735342603542048	2.9704259293429533e-8	3.230742763317821e-6
P2RY8|286530	P2RY8	8.751038041581122	9.409490648378453	-0.6584526067973311	2.970478597339979e-8	3.230742763317821e-6
ITGA8|8516	ITGA8	6.464313930699646	7.896822806588341	-1.4325088758886952	2.985220361401485e-8	3.230742763317821e-6
EIF2C1|26523	EIF2C1	9.716796019702485	9.960158360398843	-0.24336234069635765	3.060160243453296e-8	3.2942299471812664e-6
KIAA1549|57670	KIAA1549	8.55160590044531	9.126164974373333	-0.5745590739280235	3.1996336723245897e-8	3.423985107727234e-6
LOH12CR1|118426	LOH12CR1	6.5098147835327005	6.263389400387333	0.24642538314536733	3.223464837459011e-8	3.423985107727234e-6
ANKS1B|56899	ANKS1B	6.293286067455413	6.851111866556835	-0.5578257991014217	3.231451504970361e-8	3.423985107727234e-6
CYP8B1|1582	CYP8B1	5.141524380901309	6.4115686099231715	-1.2700442290218623	3.279761698900695e-8	3.4476721078483465e-6
SLC39A5|283375	SLC39A5	7.763697228101182	9.695771157805671	-1.9320739297044893	3.287877837803789e-8	3.4476721078483465e-6
S1PR1|1901	S1PR1	10.137451468835113	11.09871641098064	-0.9612649421455259	3.3123549914156614e-8	3.4554350678489767e-6
JAG1|182	JAG1	11.649829329743017	12.320329537537978	-0.6705002077949604	3.361834776861667e-8	3.4890672930321233e-6
C3orf70|285382	C3orf70	7.3203807869756385	8.120554120836731	-0.8001733338610926	3.4289243058223375e-8	3.5405392908792073e-6
