protein	median_cluster1	median_cluster2	diff	p_value	fdr
RAD51	-0.6656947655000001	-1.125162364	0.45946759849999985	1.9440161492684969e-19	1.814415072650597e-18
CHK1	-0.3147356445	-0.507214529	0.19247888449999995	2.0548135014747825e-19	1.830652028586624e-18
GSK3ALPHABETA_pS21S9	0.9894392255	1.573759934	-0.5843207085	2.464655909978422e-19	2.1003154711120466e-18
AKT	0.7878041105	1.065857419	-0.2780533085000001	6.680417770402813e-19	5.45567451249563e-18
PKCPANBETAII_pS660	0.9259610334999999	1.52131653	-0.5953554965000001	1.6246348993644239e-18	1.2737137611017083e-17
STAT5ALPHA	0.5889434495	1.199383998	-0.6104405485000001	1.7891002867297284e-18	1.3487063699962568e-17
PCNA	-1.1069870455	-1.344877723	0.23789067750000004	2.1688975947747677e-18	1.574458994725387e-17
TSC1	1.3844615235	1.830009093	-0.44554756949999996	9.019698451582853e-18	6.313788916107997e-17
PTEN	0.0186565985	0.470730521	-0.4520739225	1.0024806457777998e-17	6.775386433532716e-17
PAXILLIN	0.31345801500000003	0.805223185	-0.49176517	1.1876391666809431e-17	7.759242555648828e-17
P38_pT180Y182	0.5726425454999999	1.280250487	-0.7076079415000001	2.8286659450780594e-16	1.7884468555977407e-15
CD49B	-0.4791429655	-0.747729583	0.2685866175	2.9749233932671126e-16	1.8221405783761065e-15
TAZ	0.781307396	0.575312947	0.20599444899999997	4.304604733668282e-16	2.5566743266635856e-15
BRCA2	0.1619087195	-0.142147014	0.3040557335	1.208040031831388e-15	6.963995477616236e-15
BID	0.8235097874999999	0.583548934	0.23996085349999996	1.758094623225027e-15	9.845329890060151e-15
JNK2	0.17119614	0.438917417	-0.267721277	3.785684033138967e-15	2.061094640264549e-14
FOXM1	-1.0015906745	-1.228670253	0.22707957849999993	3.892096908433803e-15	2.0617594433865548e-14
CYCLINE2	1.214932826	0.956935375	0.25799745100000004	5.6707643209984745e-15	2.9249205445150024e-14
NF2	0.8573690915000001	1.289203877	-0.4318347855	6.266806252030825e-15	3.1494718599949787e-14
GSK3_pS9	0.4682777215	0.961219005	-0.4929412835	1.5278890543195675e-14	7.486656366165882e-14
ERALPHA_pS118	-0.0836439095	-0.269906659	0.1862627495	3.7279182065156353e-14	1.7821267523830843e-13
TIGAR	0.847398938	0.621505217	0.22589372099999994	4.867389733345842e-14	2.2714485422280598e-13
EGFR_pY1068	-1.1695400569999999	-0.267842418	-0.9016976389999998	7.791569655830157e-14	3.5515061687039787e-13
CASPASE7CLEAVEDD198	-0.5381344379999999	-0.778824186	0.2406897480000001	1.71111805739351e-13	7.622253164752908e-13
LKB1	0.55118241	0.387730126	0.163452284	2.7292818690987685e-13	1.188753880763019e-12
